level,word,quiz_sentence
4,aberration,The warm spell in January was an <blank> from the usual frost.
4,aberration,Such an <blank> in his behaviour had never been seen before.
4,aberration,The <blank> in the data puzzled the researchers.
4,aberration,Her high mark was an <blank> in a term of poor results.
4,aberration,The <blank> stood out from the normal pattern.
4,aberration,They dismissed the result as a statistical <blank>.
4,aberration,The <blank> in the routine had unsettled everyone.
4,aberration,His kindness that day was an <blank> they did not forget.
4,aberration,The <blank> was noted but not repeated.
4,aberration,Such an <blank> was rare in that ordered household.
4,abominable,The <blank> weather had kept them indoors all week.
4,abominable,Everyone agreed the treatment of the prisoners was <blank>.
4,abominable,His <blank> behaviour had shocked the whole school.
4,abominable,The <blank> smell from the drain made her retch.
4,abominable,She found the conditions <blank> and left at once.
4,abominable,The <blank> cruelty had been documented.
4,abominable,His <blank> manners had lost him every friend.
4,abominable,The <blank> state of the room was beyond belief.
4,abominable,She described the experience as utterly <blank>.
4,abominable,The <blank> noise had gone on all night.
4,abomination,The new policy was an <blank> to the traditionalists.
4,abomination,"To him, the idea was an <blank>."
4,abomination,She regarded the demolition as an <blank>.
4,abomination,The <blank> had been condemned from the pulpit.
4,abomination,His behaviour was an <blank> in the eyes of the community.
4,abomination,The <blank> had to be stopped
4,abomination,She could not hide her view that it was an <blank>.
4,abomination,The <blank> had been committed in broad daylight.
4,abomination,"To many, the change was an <blank>."
4,abomination,The <blank> had shocked even his supporters.
4,absolution,The priest offered <blank> to those who confessed.
4,absolution,She sought <blank> for the harsh words she had spoken.
4,absolution,The <blank> had brought him peace at last.
4,absolution,He asked for <blank> from his father.
4,absolution,The <blank> was granted after a sincere apology.
4,absolution,She found <blank> through prayer and reflection.
4,absolution,The <blank> lifted a weight from his shoulders.
4,absolution,He received <blank> for his part in the affair.
4,absolution,The <blank> had been a long time coming.
4,absolution,She offered <blank> to those who had wronged her.
4,accessible,The new path made the beach <blank> to wheelchair users.
4,accessible,The building's <blank> design had won an award.
4,accessible,She made sure the materials were <blank> to all pupils.
